event,site,date,round,white,black,result,white_elo,black_elo,eco,set_up,time_control,start_time,end_time,termination,link,movetext,n_moves,w1,b1,w2,b2,w3,b3,w4,b4,w5,b5,w6,b6,w7,b7,w8,b8,w9,b9,w10,b10,last_move,complete_movetext,w_b_moves,w_k_moves,w_n_moves,w_o_moves,w_q_moves,w_r_moves,b_b_moves,b_k_moves,b_n_moves,b_o_moves,b_q_moves,b_r_moves,b_moves,k_moves,n_moves_2,o_moves,q_moves,r_moves,termination_broad,me,win,draw,loss,my_result,elo_dif,my_elo
Blitz,Chess.com,2020-10-20,-,therealslim_kt,ojavierg,0-1,1792,1794,A10,NA,180,00:23:46,00:30:01,ojavierg won on time,https://www.chess.com/live/game/5607872335,1. c4 b5 2. g3 bxc4 3. e4 c6 4. Bxc4 d5 5. exd5 cxd5 6. Bb5+ Bd7 7. Qa4 Bxb5 8. Qxb5+ Qd7 9. Qxd7+ Nxd7 10. d4 e6 11. Nc3 Bb4 12. Ne2 Ngf6 13. O-O O-O 14. Bg5 Rac8 15. a3 Ba5 16. Rac1 Bb6 17. Nb5 Rxc1 18. Rxc1 a6 19. Nd6 h6 20. Bd2 Ne4 21. Bb4 Rb8 22. Nxe4 dxe4 23. Rd1 Nf6 24. Nf4 Rc8 25. d5 exd5 26. Nxd5 Nxd5 27. Rxd5 Rc2 28. Be1 Rxb2 29. Rd6 e3 30. fxe3 Bxe3+ 31. Kf1 Rxh2 32. Rxa6 Bd2 33. Bxd2 Rxd2 34. Ra8+ Kh7 35. a4 Ra2 36. a5 g5 37. a6 Kg7 38. a7 h5 39. Ke1 Kf6 40. Kd1 Kf5 41. Kc1 Kg4 42. Kb1 Ra3 43. Kb2 Ra6 44. Kb3 f6 45. Kb4 Kxg3 46. Kb5 Ra2 47. Kb6 f5 48. Kb7 g4 49. Rh8 Rxa7+ 50. Kxa7 h4 51. Kb6 h3 52. Kb5 Kg2 53. Rh5 f4 54. Kc4 g3 55. Re5 f3 56. Kd3 f2 57. Re2 h2 58. Ke3 h1=Q 59. Kd2 Qa1 60. Kd3 Qa6+ 61. Ke3 Qxe2+ 62. Kxe2 f1=Q+ 63. Ke3 Qf2+ 64. Ke4 Qf3+ 65. Kd4 Kf2 66. Kc4 g2,66,c4,b5,g3,bxc4,e4,c6,Bxc4,d5,exd5,cxd5,Bb5+,Bd7,Qa4,Bxb5,Qxb5+,Qd7,Qxd7+,Nxd7,d4,e6,g2,TRUE,7,26,7,1,3,12,7,9,5,1,6,14,14,35,12,2,9,26,Time forfeit,White,0,0,TRUE,Loss,-2,1792
Blitz,Chess.com,2020-10-20,-,FedeVillar_85,therealslim_kt,0-1,1717,1800,E00,NA,180,00:19:59,00:23:13,therealslim_kt won - game abandoned,https://www.chess.com/live/game/5607863328,1. d4 e6 2. c4 Nf6 3. Nc3 c5 4. d5 exd5 5. cxd5 d6 6. Bg5 Be7 7. e4 Nxe4 8. Bxe7 Qxe7 9. Nxe4 Qxe4+ 10. Be2 Qb4+ 11. Qd2 Qxd2+ 12. Kxd2 Bf5 13. Nf3 Nd7 14. Bb5 O-O 15. Nh4 Bg4 16. f3 Ne5 17. fxg4 Nxg4 18. h3 Nf6 19. Rhe1 Nxd5 20. Bc4 Nf4 21. Bd5 Nxd5,21,d4,e6,c4,Nf6,Nc3,c5,d5,exd5,cxd5,d6,Bg5,Be7,e4,Nxe4,Bxe7,Qxe7,Nxe4,Qxe4+,Be2,Qb4+,Nxd5,TRUE,6,1,4,0,1,1,3,1,9,1,4,1,9,2,13,1,5,2,Normal,Black,1,0,FALSE,Win,83,1800
Blitz,Chess.com,2020-10-20,-,mandrews360,therealslim_kt,0-1,1828,1794,C00,NA,180,00:16:02,00:19:40,therealslim_kt won by resignation,https://www.chess.com/live/game/5607853279,1. e4 e6 2. Nf3 d5 3. exd5 exd5 4. d4 Nf6 5. c3 Be7 6. Be2 O-O 7. O-O Re8 8. h3 Bf5 9. Bg5 Ne4 10. Nbd2 Nxg5 11. Nxg5 Bxg5 12. f4 Bh4 13. Nf3 Bg3 14. Ne5 f6 15. Ng4 Qe7 16. Bf3 Be4 17. Qb3 c6 18. Ne3 Nd7 19. Bxe4 Qxe4 20. Rf3 Bxf4 21. Rxf4 Qxf4 22. Nxd5 cxd5 23. Qxd5+ Kh8 24. Qxd7 Re2 25. Rf1 Qe3+ 26. Kh1 Re8 27. Qxb7 Qg3 28. c4 Re1 29. Qf3 Rxf1+,29,e4,e6,Nf3,d5,exd5,exd5,d4,Nf6,c3,Be7,Be2,O-O,O-O,Re8,h3,Bf5,Bg5,Ne4,Nbd2,Nxg5,Rxf1+,TRUE,4,2,8,1,5,4,7,2,4,1,5,6,11,4,12,2,10,10,Normal,Black,1,0,FALSE,Win,-34,1794
Blitz,Chess.com,2020-10-20,-,CarmelJane,therealslim_kt,0-1,1714,1785,A13,NA,180,00:09:48,00:15:43,therealslim_kt won by resignation,https://www.chess.com/live/game/5607837105,1. Nf3 e6 2. c4 d5 3. cxd5 exd5 4. d4 Nf6 5. g3 Be7 6. Bg2 O-O 7. O-O Re8 8. Nc3 Bg4 9. Bf4 Qd7 10. Rc1 c6 11. Ne5 Qf5 12. f3 Bh3 13. g4 Qxf4 14. Bxh3 Nbd7 15. Nd3 Qe3+ 16. Kh1 Bd6 17. Rg1 Re7 18. g5 Nh5 19. Qf1 Nf4 20. Bf5 Rae8 21. Nxf4 Qxf4 22. Qh3 g6 23. Bxd7 Rxd7 24. Rce1 Rde7 25. Rg4 Qd2 26. Reg1 Rxe2 27. Nxe2 Rxe2 28. Rh4 c5 29. Rxh7 Qxd4 30. Rh4 Rxh2+ 31. Qxh2 Bxh2 32. Rxh2 Qf4 33. Re1 Qxf3+ 34. Kg1 Qg3+ 35. Rg2 Qxe1+ 36. Kh2 Qh4+,36,Nf3,e6,c4,d5,cxd5,exd5,d4,Nf6,g3,Be7,Bg2,O-O,O-O,Re8,Nc3,Bg4,Bf4,Qd7,Rc1,c6,Qh4+,TRUE,5,4,6,1,3,12,5,1,4,1,12,9,10,5,10,2,15,21,Normal,Black,1,0,FALSE,Win,71,1785
Blitz,Chess.com,2020-10-20,-,therealslim_kt,BeatSicilian,1-0,1778,1785,A30,NA,180,00:06:37,00:09:31,therealslim_kt won by resignation,https://www.chess.com/live/game/5607829294,1. c4 c5 2. g3 Nc6 3. Bg2 e6 4. d3 Qc7 5. Nc3 a6 6. e4 Nf6 7. Nge2 Nd4 8. O-O Be7 9. Rb1 Rb8 10. a3 b5 11. b4 O-O 12. bxc5 Bxc5 13. cxb5 axb5 14. Nxd4 Bxd4 15. Nxb5 Qb6 16. a4 Be5 17. Bb2 Bxb2 18. Rxb2 Ba6 19. Qb1 Bxb5 20. Rxb5 Qd4 21. Rxb8,21,c4,c5,g3,Nc6,Bg2,e6,d3,Qc7,Nc3,a6,e4,Nf6,Nge2,Nd4,O-O,Be7,Rb1,Rb8,a3,b5,Rxb8,TRUE,2,1,4,1,1,5,7,1,3,1,3,2,9,2,7,2,4,7,Normal,White,1,0,FALSE,Win,-7,1778
Blitz,Chess.com,2020-10-20,-,therealslim_kt,RIPbomba,1-0,1769,1705,A25,NA,180,00:05:07,00:06:28,therealslim_kt won by resignation,https://www.chess.com/live/game/5607825081,1. c4 e5 2. Nc3 Nc6 3. d3 d6 4. g3 Be6 5. Bg2 f5 6. e4 Nf6 7. Nge2 g6 8. O-O Bg7 9. f4 O-O 10. Rb1 a6 11. b4 Rb8 12. b5 Ne7 13. a4 a5 14. exf5 Nxf5 15. Ne4 exf4 16. Bxf4 Nd4 17. Nxd4 Nxe4 18. Nxe6,18,c4,e5,Nc3,Nc6,d3,d6,g3,Be6,Bg2,f5,e4,Nf6,Nge2,g6,O-O,Bg7,f4,O-O,Rb1,a6,Nxe6,TRUE,2,1,5,1,0,2,2,1,6,1,0,2,4,2,11,2,0,4,Normal,White,1,0,FALSE,Win,64,1769
Blitz,Chess.com,2020-10-19,-,therealslim_kt,QuimetAlvarez,1-0,1762,1634,A13,NA,180,23:59:54,00:04:51,therealslim_kt won by resignation,https://www.chess.com/live/game/5607810981,1. c4 e6 2. Nc3 d6 3. g3 g6 4. Bg2 Bg7 5. d3 f6 6. Nf3 Nh6 7. O-O Nf7 8. Rb1 O-O 9. b4 e5 10. a4 a6 11. b5 a5 12. Nd2 Nd7 13. Ba3 Rb8 14. Nd5 c6 15. bxc6 bxc6 16. Rxb8 Nxb8 17. Nc3 f5 18. Qb3 Qc7 19. e4 Be6 20. Rb1 Na6 21. Qb6 Qxb6 22. Rxb6 Nb4 23. Bxb4 axb4 24. Rxb4 c5 25. Rb6 f4 26. a5 Rd8 27. a6 Ra8 28. Nb5 Bf8 29. gxf4 exf4 30. a7 d5 31. exd5 Bf5 32. d6 Bxd3 33. Bxa8 Bxc4 34. Nxc4,34,c4,e6,Nc3,d6,g3,g6,Bg2,Bg7,d3,f6,Nf3,Nh6,O-O,Nf7,Rb1,O-O,b4,e5,a4,a6,Nxc4,TRUE,4,1,7,1,2,7,6,1,6,1,2,4,10,2,13,2,4,11,Normal,White,1,0,FALSE,Win,128,1762
Blitz,Chess.com,2020-10-19,-,therealslim_kt,chessical75,1-0,1756,1786,A25,NA,180,23:53:33,23:59:30,therealslim_kt won on time,https://www.chess.com/live/game/5607794707,1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 f5 6. Nf3 Nf6 7. O-O d6 8. Rb1 a5 9. a3 O-O 10. b4 axb4 11. axb4 Be6 12. b5 Ne7 13. Nd2 Rb8 14. e4 c6 15. exf5 Bxf5 16. Nde4 d5 17. Nc5 dxc4 18. dxc4 Qxd1 19. Rxd1 Bxb1 20. Ne6 Kf7 21. Nxf8 Bxf8 22. Nxb1 cxb5 23. cxb5 Nf5 24. Bb2 Ke6 25. Na3 Bc5 26. h3 Nd4 27. Nc4 b6 28. f4 exf4 29. Bxd4 Rd8 30. Re1+ Kf7 31. Bxc5 bxc5 32. b6 Rb8 33. Nd6+ Kg7 34. b7 fxg3 35. Nc8 Nd7 36. Re7+ Kf8 37. Rxd7 Ke8 38. Re7+ Kd8 39. Rxh7,39,c4,e5,Nc3,Nc6,g3,g6,Bg2,Bg7,d3,f5,Nf3,Nf6,O-O,d6,Rb1,a5,a3,O-O,b4,axb4,Rxh7,TRUE,4,1,12,1,0,8,6,8,6,1,1,4,10,9,18,2,1,12,Time forfeit,White,1,0,FALSE,Win,-30,1756
Bullet,Chess.com,2020-10-19,-,therealslim_kt,vivimaire,0-1,1817,1812,A16,NA,60,22:24:25,22:26:45,vivimaire won on time,https://www.chess.com/live/game/5607538280,1. c4 Nf6 2. Nc3 g6 3. d3 Bg7 4. g3 d5 5. Bg2 c6 6. cxd5 Nxd5 7. Rb1 Bxc3+ 8. bxc3 Nxc3 9. Qb3 Nxb1 10. Qxb1 O-O 11. Nf3 b6 12. O-O Bb7 13. Bb2 f6 14. Nd4 Qd7 15. Rc1 c5 16. Bxb7 Qxb7 17. Ne6 Re8 18. Bc3 Qd5 19. Qb3 Qxb3 20. axb3 Na6 21. Ra1 Nb4 22. Nc7 Kf7 23. Nxa8 Rxa8 24. Bxb4 cxb4 25. Ra4 a6 26. Rxb4 a5 27. Rxb6 Rc8 28. Kg2 Rc2 29. Kf3 Rb2 30. e4 a4 31. b4 a3 32. Ra6 a2 33. b5 h5 34. b6 Rxb6 35. Rxa2 Rb3 36. Rd2 Ke6 37. Ke3 Ke5 38. f4+ Kd6 39. h4 e5 40. f5 gxf5 41. exf5 Kd5 42. Kf3 Kd4 43. Ke2 e4 44. dxe4+ Kxe4 45. Kf2 Kxf5,45,c4,Nf6,Nc3,g6,d3,Bg7,g3,d5,Bg2,c6,cxd5,Nxd5,Rb1,Bxc3+,bxc3,Nxc3,Qb3,Nxb1,Qxb1,O-O,Kxf5,TRUE,5,7,6,1,3,10,3,9,6,1,4,8,8,16,12,2,7,18,Time forfeit,White,0,0,TRUE,Loss,5,1817
Bullet,Chess.com,2020-10-19,-,therealslim_kt,the_queen_slayer,1-0,1825,1725,A35,NA,60,09:13:05,09:13:29,therealslim_kt won by resignation,https://www.chess.com/live/game/5604445126,1. c4 c5 2. Nc3 Nc6 3. d3 e6 4. g3 g6 5. Bg2 Bg7 6. Nf3 Nge7 7. O-O O-O 8. Rb1 d5 9. a3 dxc4 10. dxc4 Qc7 11. b4 cxb4 12. Nb5 a6 13. Nxc7,13,c4,c5,Nc3,Nc6,d3,e6,g3,g6,Bg2,Bg7,Nf3,Nge7,O-O,O-O,Rb1,d5,a3,dxc4,dxc4,Qc7,Nxc7,TRUE,1,1,4,1,0,2,1,1,2,1,1,1,2,2,6,2,1,3,Normal,White,1,0,FALSE,Win,100,1825
Blitz,Chess.com,2020-10-18,-,igor196507,therealslim_kt,0-1,1696,1746,C07,NA,300,14:45:01,14:52:53,therealslim_kt won on time,https://www.chess.com/live/game/5601051422,1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. c3 Nge7 6. Bd3 Ng6 7. exd5 exd5 8. dxc5 Bxc5 9. O-O O-O 10. Nb3 Bb6 11. Bg5 Qc7 12. Qd2 Bg4 13. Nbd4 Nce5 14. Nxe5 Nxe5 15. Bf4 f6 16. Nb5 Qf7 17. Rae1 Nxd3 18. Qxd3 Qh5 19. h3 Bf5 20. Qxd5+ Kh8 21. Nd6 Bg6 22. Qxh5 Bxh5 23. g4 Bg6 24. Nxb7 Bd3 25. Re8 Raxe8,25,e4,e6,d4,d5,Nd2,c5,Ngf3,Nc6,c3,Nge7,Bd3,Ng6,exd5,exd5,dxc5,Bxc5,O-O,O-O,Nb3,Bb6,Raxe8,TRUE,3,1,8,1,4,3,8,2,6,1,3,2,11,3,14,2,7,5,Time forfeit,Black,1,0,FALSE,Win,50,1746
Blitz,Chess.com,2020-10-18,-,therealslim_kt,Ilja-NES,1-0,1738,1673,A10,NA,300,14:38:43,14:44:36,therealslim_kt won by resignation,https://www.chess.com/live/game/5601026961,1. c4 f5 2. g3 Nf6 3. Bg2 e6 4. d3 Be7 5. Nc3 O-O 6. Nf3 Bb4 7. O-O Bxc3 8. bxc3 d6 9. Qb3 Nc6 10. Rb1 Kh8 11. Nd4 Nxd4 12. cxd4 Rb8 13. Bg5 Bd7 14. d5 e5 15. f4 h6 16. Bh4 exf4 17. gxf4 Qe7 18. Rbe1 Qe3+ 19. Kh1 Ng4 20. Bf3 Qe8 21. e4 Qh5 22. Bg3 fxe4 23. dxe4 b6 24. f5 Qh3 25. Qd1 Be8 26. Bxg4,26,c4,f5,g3,Nf6,Bg2,e6,d3,Be7,Nc3,O-O,Nf3,Bb4,O-O,Bxc3,bxc3,d6,Qb3,Nc6,Rb1,Kh8,Bxg4,TRUE,6,2,3,1,2,3,5,2,4,1,5,2,11,4,7,2,7,5,Normal,White,1,0,FALSE,Win,65,1738
Blitz,Chess.com,2020-10-18,-,BiGaCeBiGkInG,therealslim_kt,1/2-1/2,1769,1730,A40,NA,300,13:37:37,13:47:32,Game drawn by timeout vs insufficient material,https://www.chess.com/live/game/5600797625,1. d4 e6 2. Nf3 d5 3. Bf4 Nf6 4. e3 c5 5. c3 c4 6. Nbd2 Nc6 7. h3 Bd6 8. g4 Qc7 9. Bxd6 Qxd6 10. Bg2 h5 11. g5 Ne4 12. Nxe4 dxe4 13. Nd2 Qe7 14. Nxe4 f5 15. gxf6 gxf6 16. Qe2 Rg8 17. Bf3 Bd7 18. Bxh5+ Kd8 19. Bf3 f5 20. Nc5 b6 21. Nxd7 Kxd7 22. Qxc4 Rac8 23. Qb5 e5 24. Bxc6+ Rxc6 25. dxe5 Kc7 26. O-O-O Rg2 27. Rd6 Rxd6 28. exd6+ Qxd6 29. Rd1 Qe6 30. Qa6 Rxf2 31. Qxa7+ Kc8 32. Qa8+ Kc7 33. Qd8+ Kb7 34. Rd7+ Ka6 35. Rd5 Qxe3+ 36. Rd2 Rf1+ 37. Kc2 Qe4+ 38. Kb3 Qe6+ 39. Qd5 Qe8 40. Qc4+ Qb5+ 41. Qxb5+ Kxb5 42. h4 Rf4 43. h5 Rh4 44. h6 Rxh6 45. Rf2 Rf6 46. a4+ Kc6 47. Kc4 Kd6 48. b4 Ke5 49. Kb5 Ke4 50. a5 bxa5 51. bxa5 Kd3 52. c4 Kd4 53. c5 f4 54. c6 f3 55. a6 Ke3 56. Rxf3+ Kxf3 57. a7 Rf8 58. Kb6 Ke4 59. Kb7 Kd5 60. c7 Kd6 61. c8=Q Rxc8 62. Kxc8 Kc6 63. a8=Q+ Kc5,63,d4,e6,Nf3,d5,Bf4,Nf6,e3,c5,c3,c4,Nbd2,Nc6,h3,Bd6,g4,Qc7,Bxd6,Qxd6,Bg2,h5,Kc5,TRUE,7,8,7,1,10,8,2,21,3,0,10,13,9,29,10,1,20,21,Normal,Black,0,1,FALSE,Draw,-39,1730
Blitz,Chess.com,2020-10-18,-,AKV123,therealslim_kt,0-1,1800,1729,C00,NA,300,11:25:55,11:30:53,therealslim_kt won by resignation,https://www.chess.com/live/game/5600348191,1. e4 e6 2. Nf3 d5 3. e5 c5 4. c3 Nc6 5. d4 Qb6 6. b3 Nge7 7. Be2 Nf5 8. g4 Nh6 9. Bxh6 gxh6 10. O-O Rg8 11. h3 h5 12. g5 Bh6 13. h4 Bd7 14. Qd3 O-O-O 15. Qxh7 Bg7 16. Qxh5 cxd4 17. cxd4 Nxd4 18. Rc1+ Kb8 19. Bd1 Nxf3+ 20. Qxf3 Bxe5 21. Nd2 Bxa1 22. Rxa1 Bc6 23. Qxf7 Qd4 24. Qf6 Qxf6,24,e4,e6,Nf3,d5,e5,c5,c3,Nc6,d4,Qb6,b3,Nge7,Be2,Nf5,g4,Nh6,Bxh6,gxh6,O-O,Rg8,Qxf6,TRUE,3,1,2,1,6,3,6,2,6,1,3,2,9,3,8,2,9,5,Normal,Black,1,0,FALSE,Win,-71,1729
Blitz,Chess.com,2020-10-18,-,Gosu1000,therealslim_kt,0-1,1676,1716,B40,NA,300,11:18:10,11:25:34,therealslim_kt won by resignation,https://www.chess.com/live/game/5600323832,1. e4 e6 2. d4 d5 3. Nf3 c5 4. exd5 exd5 5. c3 Nc6 6. Be3 b6 7. Bb5 Bd7 8. Nbd2 Nf6 9. O-O c4 10. Re1 Be7 11. h3 a6 12. Ba4 O-O 13. Bg5 Re8 14. Bc2 Qc7 15. Nf1 b5 16. Qd2 b4 17. Ng3 bxc3 18. bxc3 a5 19. Bf4 Bd6 20. Bxd6 Qxd6 21. Bf5 Na7 22. Qg5 h6 23. Qh4 Nb5 24. Ne5 Nxc3 25. Bxd7 Nxd7 26. Nf5 Qf6 27. Qg4 Nxe5 28. dxe5 Qg6 29. Qd4 Qxf5 30. Qxc3 Red8 31. Rad1 Rac8 32. Qxa5 d4 33. Qa6 c3 34. e6 fxe6 35. Rxe6 c2 36. Rc1 Qf4 37. Ree1 d3 38. Qe6+ Kh8 39. Re4 Qxc1+,39,e4,e6,d4,d5,Nf3,c5,exd5,exd5,c3,Nc6,Be3,b6,Bb5,Bd7,Nbd2,Nf6,O-O,c4,Re1,Be7,Qxc1+,TRUE,9,1,6,1,9,7,3,2,7,1,7,4,12,3,13,2,16,11,Normal,Black,1,0,FALSE,Win,40,1716
Blitz,Chess.com,2020-10-18,-,therealslim_kt,Wlatas287,1-0,1706,1745,A34,NA,300,11:16:30,11:17:57,therealslim_kt won by resignation,https://www.chess.com/live/game/5600318745,1. c4 c5 2. Nc3 e6 3. g3 d5 4. cxd5 exd5 5. Bg2 Be6 6. Qb3 c4 7. Qxb7 Qb6 8. Qxa8,8,c4,c5,Nc3,e6,g3,d5,cxd5,exd5,Bg2,Be6,Qb3,c4,Qxb7,Qb6,Qxa8,NA,NA,NA,NA,NA,Qxa8,TRUE,1,0,1,0,3,0,1,0,0,0,1,0,2,0,1,0,4,0,Normal,White,1,0,FALSE,Win,-39,1706
Blitz,Chess.com,2020-10-18,-,seryrozok,therealslim_kt,0-1,1652,1694,C00,NA,300,11:11:25,11:16:18,therealslim_kt won by resignation,https://www.chess.com/live/game/5600302809,1. e4 e6 2. Bc4 d5 3. exd5 exd5 4. Bb3 c5 5. c3 d4 6. Bc2 d3 7. Bb3 Be6 8. Nf3 Nc6 9. O-O Bxb3 10. Qxb3 Qc7 11. Re1+ Be7 12. Ng5 Nh6 13. Qc4 Rd8 14. Qxc5 O-O 15. Qe3 Ng4 16. Qh3 Qxh2+ 17. Qxh2 Nxh2 18. Kxh2 Bxg5 19. Na3 Rfe8 20. Rxe8+ Rxe8 21. f3 Bf4+ 22. Kg1 Bg3,22,e4,e6,Bc4,d5,exd5,exd5,Bb3,c5,c3,d4,Bc2,d3,Bb3,Be6,Nf3,Nc6,O-O,Bxb3,Qxb3,Qc7,Bg3,TRUE,4,3,3,1,6,3,6,1,4,1,2,4,10,4,7,2,8,7,Normal,Black,1,0,FALSE,Win,42,1694
Blitz,Chess.com,2020-10-18,-,therealslim_kt,kushtrimchess,1-0,1684,1686,A25,NA,300,11:04:34,11:11:10,therealslim_kt won by resignation,https://www.chess.com/live/game/5600281395,1. c4 e5 2. Nc3 Nc6 3. g3 Bb4 4. Bg2 Bxc3 5. bxc3 d6 6. d3 Bd7 7. e4 Nf6 8. Ne2 O-O 9. O-O h6 10. f4 Bg4 11. h3 Bxe2 12. Qxe2 a6 13. f5 Ne7 14. g4 c6 15. g5 hxg5 16. Bxg5 Nh7 17. h4 g6 18. f6 Nc8 19. Qg4 b5 20. cxb5 axb5 21. h5 Ra7 22. hxg6 Nxg5 23. Qxg5 fxg6 24. Qxg6+ Kh8 25. Rf3 Rh7 26. Rh3 Rf7 27. Rxh7+ Rxh7 28. Rf1 Qf8 29. f7 Ne7 30. Qf6+ Rg7 31. Qh6+ Rh7 32. Qxf8+,32,c4,e5,Nc3,Nc6,g3,Bb4,Bg2,Bxc3,bxc3,d6,d3,Bd7,e4,Nf6,Ne2,O-O,O-O,h6,f4,Bg4,Qxf8+,TRUE,2,1,2,1,7,5,5,2,7,1,1,7,7,3,9,2,8,12,Normal,White,1,0,FALSE,Win,-2,1684
Blitz,Chess.com,2020-10-17,-,duzbin,therealslim_kt,1-0,1656,1672,B06,NA,300,10:51:45,10:57:11,duzbin won by checkmate,https://www.chess.com/live/game/5595757096,1. d4 g6 2. e4 Bg7 3. c3 d6 4. Be3 Nf6 5. Bd3 O-O 6. Nd2 c5 7. Ne2 Nc6 8. d5 Ne5 9. Bc2 Qb6 10. b3 Nfg4 11. Bf4 c4 12. O-O cxb3 13. axb3 Bd7 14. Nc4 Nxc4 15. bxc4 Ne5 16. Rb1 Qc7 17. Bxe5 Bxe5 18. Bd3 f5 19. f3 f4 20. Qb3 b6 21. Qc2 e6 22. Kh1 g5 23. Ng1 Rf6 24. Nh3 Rg6 25. Qe2 Rf8 26. Rfc1 exd5 27. exd5 Bxh3 28. Bxg6 hxg6 29. gxh3 Qh7 30. Qg2 Qh5 31. Qg4 Qh6 32. Qe6+ Kg7 33. Qe7+ Rf7 34. Qe6 Rf6 35. Qg4 Qh8 36. Ra1 a5 37. Rab1 Qb8 38. Qd7+ Rf7 39. Qc6 g4 40. hxg4 Qh8 41. Rxb6 Kf6 42. Ra6 Rh7 43. Rc2 Bxc3 44. Qxd6+ Kg5 45. Qxg6+ Kh4 46. Rxc3 Qxc3 47. Qxh7+ Kg5 48. Qh5#,48,d4,g6,e4,Bg7,c3,d6,Be3,Nf6,Bd3,O-O,Nd2,c5,Ne2,Nc6,d5,Ne5,Bc2,Qb6,b3,Nfg4,Qh5#,TRUE,7,2,5,1,15,9,5,6,6,1,9,8,12,8,11,2,24,17,Normal,Black,0,0,TRUE,Loss,16,1672
Blitz,Chess.com,2020-10-15,-,therealslim_kt,GoodEvent,0-1,1685,1771,A21,NA,300,06:51:39,06:57:44,GoodEvent won by checkmate,https://www.chess.com/live/game/5585713718,1. c4 e5 2. Nc3 Bc5 3. d3 d6 4. g3 Bf5 5. Bg2 Nc6 6. e4 Bg6 7. Nge2 Nge7 8. O-O O-O 9. a3 f5 10. b4 Bb6 11. Qb3 Kh8 12. Bg5 Qe8 13. b5 Nd4 14. Nxd4 Bxd4 15. Rac1 fxe4 16. Nxe4 Bxe4 17. Bxe4 Rb8 18. Qd1 Ng6 19. Qh5 Kg8 20. Kg2 c6 21. Qg4 Kh8 22. h4 Ne7 23. h5 d5 24. cxd5 cxd5 25. Bxe7 dxe4 26. Bxf8 Qxf8 27. dxe4 Qf6 28. Rc7 Rf8 29. h6 gxh6 30. Qd7 Qf3+ 31. Kg1 Bxf2+ 32. Rxf2 Qxf2+ 33. Kh1 Qf1+ 34. Kh2 Rf2#,34,c4,e5,Nc3,Bc5,d3,d6,g3,Bf5,Bg2,Nc6,e4,Bg6,Nge2,Nge7,O-O,O-O,a3,f5,b4,Bb6,Rf2#,TRUE,5,5,4,1,5,4,7,4,5,1,6,4,12,9,9,2,11,8,Normal,White,0,0,TRUE,Loss,-86,1685
Blitz,Chess.com,2020-10-15,-,therealslim_kt,bojancosovic,1-0,1694,1704,A22,NA,300,06:41:58,06:51:22,therealslim_kt won on time,https://www.chess.com/live/game/5585688633,1. c4 e5 2. Nc3 Nf6 3. g3 Be7 4. d3 O-O 5. Bg2 c6 6. e4 d6 7. Nge2 Nbd7 8. O-O Nc5 9. b4 Ne6 10. b5 Bd7 11. a4 Qc7 12. f4 exf4 13. Nxf4 Nxf4 14. Bxf4 Be6 15. Qc2 Nd7 16. Ne2 Bf6 17. d4 c5 18. d5 Bg4 19. Nc3 Ne5 20. Bxe5 Bxe5 21. Rae1 b6 22. Ne2 Bxe2 23. Rxe2 Qe7 24. Kh1 f6 25. Ref2 Bd4 26. Rf3 a6 27. g4 axb5 28. axb5 Ra7 29. h4 Rfa8 30. g5 Ra2 31. Qd3 fxg5 32. Rf7 Qe5 33. Qf3 h6 34. Rf8+ Rxf8 35. Qxf8+ Kh7 36. hxg5 Qxg5 37. Qf5+ Qxf5 38. Rxf5 Be5 39. Rf7 Rc2 40. Kg1 Rxc4 41. Rb7 Rb4 42. Rxb6 c4 43. Bh3 Kg6 44. Bf5+ Kg5 45. Kf1 c3 46. Rb7 Kf4 47. Rc7 Rxb5 48. Ke2 Rc5 49. Rxc5,49,c4,e5,Nc3,Nf6,g3,Be7,d3,O-O,Bg2,c6,e4,d6,Nge2,Nbd7,O-O,Nc5,b4,Ne6,b5,Bd7,Rxc5,TRUE,5,5,6,1,5,14,9,5,7,1,5,10,14,10,13,2,10,24,Time forfeit,White,1,0,FALSE,Win,-10,1694
